Country/Region,Italy,China-Hubei,US,Spain,Germany,Iran,France,Switzerland,"Korea, South",United Kingdom,Netherlands,Belgium,Indonesia
1/22/2020,0,444,1,0,0,0,0,0,1,0,0,0,0
1/23/2020,0,444,1,0,0,0,0,0,1,0,0,0,0
1/24/2020,0,549,2,0,0,0,2,0,2,0,0,0,0
1/25/2020,0,761,2,0,0,0,3,0,2,0,0,0,0
1/26/2020,0,1058,5,0,0,0,3,0,3,0,0,0,0
1/27/2020,0,1423,5,0,1,0,3,0,4,0,0,0,0
1/28/2020,0,3554,5,0,4,0,4,0,4,0,0,0,0
1/29/2020,0,3554,5,0,4,0,5,0,4,0,0,0,0
1/30/2020,0,4903,5,0,4,0,5,0,4,0,0,0,0
1/31/2020,2,5806,7,0,5,0,5,0,11,2,0,0,0
2/1/2020,2,7153,8,1,8,0,6,0,12,2,0,0,0
2/2/2020,2,11177,8,1,10,0,6,0,15,2,0,0,0
2/3/2020,2,13522,11,1,12,0,6,0,15,2,0,0,0
2/4/2020,2,16678,11,1,12,0,6,0,16,2,0,1,0
2/5/2020,2,19665,11,1,12,0,6,0,19,2,0,1,0
2/6/2020,2,22112,11,1,12,0,6,0,23,2,0,1,0
2/7/2020,3,24953,11,1,13,0,6,0,24,3,0,1,0
2/8/2020,3,27100,11,1,13,0,11,0,24,3,0,1,0
2/9/2020,3,29631,11,2,14,0,11,0,25,3,0,1,0
2/10/2020,3,31728,11,2,14,0,11,0,27,8,0,1,0
2/11/2020,3,33366,12,2,16,0,11,0,28,8,0,1,0
2/12/2020,3,33366,12,2,16,0,11,0,28,9,0,1,0
2/13/2020,3,48206,13,2,16,0,11,0,28,9,0,1,0
2/14/2020,3,54406,13,2,16,0,11,0,28,9,0,1,0
2/15/2020,3,56249,13,2,16,0,12,0,28,9,0,1,0
2/16/2020,3,58182,13,2,16,0,12,0,29,9,0,1,0
2/17/2020,3,59989,13,2,16,0,12,0,30,9,0,1,0
2/18/2020,3,61682,13,2,16,0,12,0,31,9,0,1,0
2/19/2020,3,62031,13,2,16,2,12,0,31,9,0,1,0
2/20/2020,3,62442,13,2,16,5,12,0,104,9,0,1,0
2/21/2020,20,62662,15,2,16,18,12,0,204,9,0,1,0
2/22/2020,62,64084,15,2,16,28,12,0,433,9,0,1,0
2/23/2020,155,64084,15,2,16,43,12,0,602,9,0,1,0
2/24/2020,229,64287,51,2,16,61,12,0,833,13,0,1,0
2/25/2020,322,64786,51,6,17,95,14,1,977,13,0,1,0
2/26/2020,453,65187,57,13,27,139,18,1,1261,13,0,1,0
2/27/2020,655,65596,58,15,46,245,38,8,1766,15,1,1,0
2/28/2020,888,65914,60,32,48,388,57,8,2337,20,1,1,0
2/29/2020,1128,66337,68,45,79,593,100,18,3150,23,6,1,0
3/1/2020,1694,66907,74,84,130,978,130,27,3736,36,10,2,0
3/2/2020,2036,67103,98,120,159,1501,191,42,4335,40,18,8,2
3/3/2020,2502,67217,118,165,196,2336,204,56,5186,51,24,13,2
3/4/2020,3089,67332,149,222,262,2922,285,90,5621,85,38,23,2
3/5/2020,3858,67466,217,259,482,3513,377,114,6088,115,82,50,2
3/6/2020,4636,67592,262,400,670,4747,653,214,6593,163,128,109,4
3/7/2020,5883,67666,402,500,799,5823,949,268,7041,206,188,169,4
3/8/2020,7375,67707,518,673,1040,6566,1126,337,7314,273,265,200,6
3/9/2020,9172,67743,583,1073,1176,7161,1209,374,7478,321,321,239,19
3/10/2020,10149,67760,959,1695,1457,8042,1784,491,7513,382,382,267,27
3/11/2020,12462,67773,1281,2277,1908,9000,2281,652,7755,456,503,314,34
3/12/2020,12462,67781,1663,2277,2078,10075,2281,652,7869,456,503,314,34
3/13/2020,17660,67786,2179,5232,3675,11364,3661,1139,7979,798,804,559,69
3/14/2020,21157,67790,2727,6391,4585,12729,4469,1359,8086,1140,959,689,96
3/15/2020,24747,67794,3499,7798,5795,13938,4499,2200,8162,1140,1135,886,117
3/16/2020,27980,67798,4632,9942,7272,14991,6633,2200,8236,1543,1413,1058,134
3/17/2020,31506,67799,6421,11748,9257,16169,7652,2700,8320,1950,1705,1243,172
3/18/2020,35713,67800,7783,13910,12327,17361,9043,3028,8413,2626,2051,1486,227
3/19/2020,41035,67800,13677,17963,15320,18407,10871,4075,8565,2689,2460,1795,311
3/20/2020,47021,67800,19100,20410,19848,19644,12612,5294,8652,3983,2994,2257,369
3/21/2020,53578,67800,25489,25374,22213,20610,14282,6575,8799,5018,3631,2815,450
3/22/2020,59138,67800,33276,28768,24873,21638,16018,7474,8961,5683,4204,3401,514
3/23/2020,63927,67800,43847,35136,29056,23049,19856,8795,8961,6650,4749,3743,579
3/24/2020,69176,67801,53740,39885,32986,24811,22304,9877,9037,8077,5560,4269,686
